COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Mono,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Age groups,18–64 years,18–64 years,73,2.6,
Napa,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2017,Age groups,18–64 years,18–64 years,15,2.6,
Orange,2017,Age groups,18–64 years,18–64 years,395,1.9,
Placer,2017,Age groups,18–64 years,18–64 years,43,1.9,
Plumas,2017,Age groups,18–64 years,18–64 years,0,0,
Riverside,2017,Age groups,18–64 years,18–64 years,361,2.5,
Sacramento,2017,Age groups,18–64 years,18–64 years,388,4.2,
San Benito,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Age groups,18–64 years,18–64 years,425,3.2,
San Diego,2017,Age groups,18–64 years,18–64 years,468,2.3,
San Francisco,2017,Age groups,18–64 years,18–64 years,146,2.5,
San Joaquin,2017,Age groups,18–64 years,18–64 years,140,3,
San Luis Obispo,2017,Age groups,18–64 years,18–64 years,34,2.3,
San Mateo,2017,Age groups,18–64 years,18–64 years,85,1.6,
Santa Barbara,2017,Age groups,18–64 years,18–64 years,33,1.2,
Santa Clara,2017,Age groups,18–64 years,18–64 years,278,2.1,
Santa Cruz,2017,Age groups,18–64 years,18–64 years,28,1.7,
Shasta,2017,Age groups,18–64 years,18–64 years,17,1.6,
Sierra,2017,Age groups,18–64 years,18–64 years,0,0,
Siskiyou,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2017,Age groups,18–64 years,18–64 years,60,2.1,
Sonoma,2017,Age groups,18–64 years,18–64 years,56,1.8,
Stanislaus,2017,Age groups,18–64 years,18–64 years,96,3.1,
Sutter,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Age groups,18–64 years,18–64 years,78,2.9,
Tuolumne,2017,Age groups,18–64 years,18–64 years,11,,Rate not available due to statistical instability
Ventura,2017,Age groups,18–64 years,18–64 years,111,2,
Yolo,2017,Age groups,18–64 years,18–64 years,29,2.5,
Yuba,2017,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2017,Age groups,65+ years,65+ years,"2,669",4.8,
Alameda,2017,Age groups,65+ years,65+ years,168,7.4,
Alpine,2017,Age groups,65+ years,65+ years,0,0,
Amador,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2017,Age groups,65+ years,65+ years,0,0,
Contra Costa,2017,Age groups,65+ years,65+ years,106,6.1,
Del Norte,2017,Age groups,65+ years,65+ years,0,0,
El Dorado,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2017,Age groups,65+ years,65+ years,60,5.1,
Glenn,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2017,Age groups,65+ years,65+ years,0,0,
Kern,2017,Age groups,65+ years,65+ years,39,4.1,
Kings,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2017,Age groups,65+ years,65+ years,886,6.4,
Madera,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2017,Age groups,65+ years,65+ years,17,3.1,
Mariposa,2017,Age groups,65+ years,65+ years,0,0,
Mendocino,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2017,Age groups,65+ years,65+ years,0,0,
Mono,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Age groups,65+ years,65+ years,19,3.4,
Napa,2017,Age groups,65+ years,65+ years,12,4.8,
Nevada,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2017,Age groups,65+ years,65+ years,174,3.7,
Placer,2017,Age groups,65+ years,65+ years,18,2.4,
Plumas,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2017,Age groups,65+ years,65+ years,94,2.7,
Sacramento,2017,Age groups,65+ years,65+ years,113,5.5,
San Benito,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Age groups,65+ years,65+ years,105,4.3,
San Diego,2017,Age groups,65+ years,65+ years,172,3.6,
San Francisco,2017,Age groups,65+ years,65+ years,78,5.4,
San Joaquin,2017,Age groups,65+ years,65+ years,47,5.1,
San Luis Obispo,2017,Age groups,65+ years,65+ years,14,2.6,
San Mateo,2017,Age groups,65+ years,65+ years,58,4.5,
Santa Barbara,2017,Age groups,65+ years,65+ years,23,3.5,
Santa Clara,2017,Age groups,65+ years,65+ years,137,5.1,
Santa Cruz,2017,Age groups,65+ years,65+ years,13,3.2,
Shasta,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2017,Age groups,65+ years,65+ years,0,0,
Solano,2017,Age groups,65+ years,65+ years,25,3.6,
Sonoma,2017,Age groups,65+ years,65+ years,35,3.8,
Stanislaus,2017,Age groups,65+ years,65+ years,32,4.7,
Sutter,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Age groups,65+ years,65+ years,20,3.9,
Tuolumne,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2017,Age groups,65+ years,65+ years,70,5.6,
Yolo,2017,Age groups,65+ years,65+ years,16,6.1,
Yuba,2017,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2017,Race/ethnicity,White,All ages,"5,011",3.6,
Alameda,2017,Race/ethnicity,White,All ages,145,2.7,
Alpine,2017,Race/ethnicity,White,All ages,0,0,
Amador,2017,Race/ethnicity,White,All ages,13,5.5,
Butte,2017,Race/ethnicity,White,All ages,68,5,
Calaveras,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2017,Race/ethnicity,White,All ages,170,3.4,
Del Norte,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2017,Race/ethnicity,White,All ages,58,4.9,
Fresno,2017,Race/ethnicity,White,All ages,165,6.2,
Glenn,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Race/ethnicity,White,All ages,27,3.2,
Imperial,2017,Race/ethnicity,White,All ages,11,,Rate not available due to statistical instability
Inyo,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2017,Race/ethnicity,White,All ages,125,4.5,
Kings,2017,Race/ethnicity,White,All ages,27,5.4,
Lake,2017,Race/ethnicity,White,All ages,23,6.1,
Lassen,2017,Race/ethnicity,White,All ages,20,10.1,
Los Angeles,2017,Race/ethnicity,White,All ages,946,3.5,
Madera,2017,Race/ethnicity,White,All ages,30,7.5,
Marin,2017,Race/ethnicity,White,All ages,45,2.4,
Mariposa,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2017,Race/ethnicity,White,All ages,22,4.9,
Merced,2017,Race/ethnicity,White,All ages,36,5.4,
Modoc,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Race/ethnicity,White,All ages,36,3.1,
Napa,2017,Race/ethnicity,White,All ages,21,3,
Nevada,2017,Race/ethnicity,White,All ages,32,4.9,
Orange,2017,Race/ethnicity,White,All ages,449,3.9,
Placer,2017,Race/ethnicity,White,All ages,73,3.1,
Plumas,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2017,Race/ethnicity,White,All ages,305,3.9,
Sacramento,2017,Race/ethnicity,White,All ages,293,4.7,
San Benito,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Race/ethnicity,White,All ages,268,4.7,
San Diego,2017,Race/ethnicity,White,All ages,389,2.7,
San Francisco,2017,Race/ethnicity,White,All ages,74,2.4,
San Joaquin,2017,Race/ethnicity,White,All ages,109,4.9,
San Luis Obispo,2017,Race/ethnicity,White,All ages,56,4,
San Mateo,2017,Race/ethnicity,White,All ages,63,1.8,
Santa Barbara,2017,Race/ethnicity,White,All ages,40,2.1,
Santa Clara,2017,Race/ethnicity,White,All ages,173,2.6,
Santa Cruz,2017,Race/ethnicity,White,All ages,44,3.6,
Shasta,2017,Race/ethnicity,White,All ages,52,4.5,
Sierra,2017,Race/ethnicity,White,All ages,0,0,
Siskiyou,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2017,Race/ethnicity,White,All ages,54,3.6,
Sonoma,2017,Race/ethnicity,White,All ages,87,3,
Stanislaus,2017,Race/ethnicity,White,All ages,80,3.7,
Sutter,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Race/ethnicity,White,All ages,13,3.4,
Trinity,2017,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2017,Race/ethnicity,White,All ages,58,4.9,
Tuolumne,2017,Race/ethnicity,White,All ages,16,4,
Ventura,2017,Race/ethnicity,White,All ages,129,3.5,
Yolo,2017,Race/ethnicity,White,All ages,47,5.8,
Yuba,2017,Race/ethnicity,White,All ages,16,4,
California,2017,Race/ethnicity,Black,All ages,"3,233",15.3,
Alameda,2017,Race/ethnicity,Black,All ages,312,19,
Alpine,2017,Race/ethnicity,Black,All ages,0,0,
Amador,2017,Race/ethnicity,Black,All ages,0,0,
Butte,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2017,Race/ethnicity,Black,All ages,0,0,
Colusa,2017,Race/ethnicity,Black,All ages,0,0,
Contra Costa,2017,Race/ethnicity,Black,All ages,133,13.5,
Del Norte,2017,Race/ethnicity,Black,All ages,0,0,
El Dorado,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2017,Race/ethnicity,Black,All ages,147,29.5,
Glenn,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2017,Race/ethnicity,Black,All ages,0,0,
Kern,2017,Race/ethnicity,Black,All ages,85,16.4,
Kings,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2017,Race/ethnicity,Black,All ages,0,0,
Los Angeles,2017,Race/ethnicity,Black,All ages,"1,122",14.6,
Madera,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2017,Race/ethnicity,Black,All ages,0,0,
Mendocino,2017,Race/ethnicity,Black,All ages,0,0,
Merced,2017,Race/ethnicity,Black,All ages,17,21.9,
Modoc,2017,Race/ethnicity,Black,All ages,0,0,
Mono,2017,Race/ethnicity,Black,All ages,0,0,
Monterey,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2017,Race/ethnicity,Black,All ages,0,0,
Nevada,2017,Race/ethnicity,Black,All ages,0,0,
Orange,2017,Race/ethnicity,Black,All ages,46,10.7,
Placer,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2017,Race/ethnicity,Black,All ages,0,0,
Riverside,2017,Race/ethnicity,Black,All ages,126,9.3,
Sacramento,2017,Race/ethnicity,Black,All ages,330,22.1,
San Benito,2017,Race/ethnicity,Black,All ages,0,0,
San Bernardino,2017,Race/ethnicity,Black,All ages,238,12.8,
San Diego,2017,Race/ethnicity,Black,All ages,192,13.3,
San Francisco,2017,Race/ethnicity,Black,All ages,95,25.3,
San Joaquin,2017,Race/ethnicity,Black,All ages,81,14.9,
San Luis Obispo,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2017,Race/ethnicity,Black,All ages,25,13.8,
Santa Barbara,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2017,Race/ethnicity,Black,All ages,42,10.1,
Santa Cruz,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2017,Race/ethnicity,Black,All ages,0,0,
Siskiyou,2017,Race/ethnicity,Black,All ages,0,0,
Solano,2017,Race/ethnicity,Black,All ages,41,6.9,
Sonoma,2017,Race/ethnicity,Black,All ages,11,,Rate not available due to statistical instability
Stanislaus,2017,Race/ethnicity,Black,All ages,21,16.9,
Sutter,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Race/ethnicity,Black,All ages,0,0,
Tulare,2017,Race/ethnicity,Black,All ages,17,31.5,
Tuolumne,2017,Race/ethnicity,Black,All ages,0,0,
Ventura,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yolo,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2017,Race/ethnicity,Black,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2017,Race/ethnicity,Hispanic,All ages,"7,069",4.5,
Alameda,2017,Race/ethnicity,Hispanic,All ages,204,5.4,
Alpine,2017,Race/ethnicity,Hispanic,All ages,0,0,
Amador,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2017,Race/ethnicity,Hispanic,All ages,12,3.3,
Calaveras,2017,Race/ethnicity,Hispanic,All ages,0,0,
Colusa,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2017,Race/ethnicity,Hispanic,All ages,162,5.8,
Del Norte,2017,Race/ethnicity,Hispanic,All ages,0,0,
El Dorado,2017,Race/ethnicity,Hispanic,All ages,12,5.5,
Fresno,2017,Race/ethnicity,Hispanic,All ages,328,5.2,
Glenn,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2017,Race/ethnicity,Hispanic,All ages,98,5.3,
Inyo,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2017,Race/ethnicity,Hispanic,All ages,165,3.4,
Kings,2017,Race/ethnicity,Hispanic,All ages,37,4.3,
Lake,2017,Race/ethnicity,Hispanic,All ages,19,17.4,
Lassen,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2017,Race/ethnicity,Hispanic,All ages,"2,634",5.4,
Madera,2017,Race/ethnicity,Hispanic,All ages,51,5.2,
Marin,2017,Race/ethnicity,Hispanic,All ages,15,3.2,
Mariposa,2017,Race/ethnicity,Hispanic,All ages,0,0,
Mendocino,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2017,Race/ethnicity,Hispanic,All ages,62,3.9,
Modoc,2017,Race/ethnicity,Hispanic,All ages,0,0,
Mono,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Race/ethnicity,Hispanic,All ages,106,4.1,
Napa,2017,Race/ethnicity,Hispanic,All ages,19,4.2,
Nevada,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2017,Race/ethnicity,Hispanic,All ages,336,3.1,
Placer,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2017,Race/ethnicity,Hispanic,All ages,324,2.8,
Sacramento,2017,Race/ethnicity,Hispanic,All ages,240,6.4,
San Benito,2017,Race/ethnicity,Hispanic,All ages,19,5.7,
San Bernardino,2017,Race/ethnicity,Hispanic,All ages,476,4.1,
San Diego,2017,Race/ethnicity,Hispanic,All ages,529,4.2,
San Francisco,2017,Race/ethnicity,Hispanic,All ages,116,9.3,
San Joaquin,2017,Race/ethnicity,Hispanic,All ages,135,3.8,
San Luis Obispo,2017,Race/ethnicity,Hispanic,All ages,23,3.4,
San Mateo,2017,Race/ethnicity,Hispanic,All ages,78,4.1,
Santa Barbara,2017,Race/ethnicity,Hispanic,All ages,38,1.8,
Santa Clara,2017,Race/ethnicity,Hispanic,All ages,202,4,
Santa Cruz,2017,Race/ethnicity,Hispanic,All ages,28,2.9,
Shasta,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2017,Race/ethnicity,Hispanic,All ages,0,0,
Solano,2017,Race/ethnicity,Hispanic,All ages,34,2.9,
Sonoma,2017,Race/ethnicity,Hispanic,All ages,61,4.6,
Stanislaus,2017,Race/ethnicity,Hispanic,All ages,116,4.6,
Sutter,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2017,Race/ethnicity,Hispanic,All ages,0,0,
Tulare,2017,Race/ethnicity,Hispanic,All ages,139,4,
Tuolumne,2017,Race/ethnicity,Hispanic,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2017,Race/ethnicity,Hispanic,All ages,116,3.4,
Yolo,2017,Race/ethnicity,Hispanic,All ages,29,4.3,
Yuba,2017,Race/ethnicity,Hispanic,All ages,12,5.7,
California,2017,Race/ethnicity,Asian/PI,All ages,"1,660",3.1,
Alameda,2017,Race/ethnicity,Asian/PI,All ages,164,3.6,
Alpine,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Amador,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Butte,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Colusa,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Contra Costa,2017,Race/ethnicity,Asian/PI,All ages,79,4.6,
Del Norte,2017,Race/ethnicity,Asian/PI,All ages,0,0,
El Dorado,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2017,Race/ethnicity,Asian/PI,All ages,48,5.1,
Glenn,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Humboldt,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Imperial,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Inyo,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Kern,2017,Race/ethnicity,Asian/PI,All ages,11,,Rate not available due to statistical instability
Kings,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Lake,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Lassen,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Los Angeles,2017,Race/ethnicity,Asian/PI,All ages,415,2.7,
Madera,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Mendocino,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Merced,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Modoc,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Mono,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Napa,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Orange,2017,Race/ethnicity,Asian/PI,All ages,140,2.3,
Placer,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Plumas,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Riverside,2017,Race/ethnicity,Asian/PI,All ages,33,2.4,
Sacramento,2017,Race/ethnicity,Asian/PI,All ages,122,5.4,
San Benito,2017,Race/ethnicity,Asian/PI,All ages,0,0,
San Bernardino,2017,Race/ethnicity,Asian/PI,All ages,27,1.7,
San Diego,2017,Race/ethnicity,Asian/PI,All ages,124,3.6,
San Francisco,2017,Race/ethnicity,Asian/PI,All ages,98,4.1,
San Joaquin,2017,Race/ethnicity,Asian/PI,All ages,50,4.6,
San Luis Obispo,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2017,Race/ethnicity,Asian/PI,All ages,50,2.5,
Santa Barbara,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Santa Clara,2017,Race/ethnicity,Asian/PI,All ages,173,2.7,
Santa Cruz,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Siskiyou,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Solano,2017,Race/ethnicity,Asian/PI,All ages,20,3,
Sonoma,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Stanislaus,2017,Race/ethnicity,Asian/PI,All ages,11,,Rate not available due to statistical instability
Sutter,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Trinity,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Tulare,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Tuolumne,2017,Race/ethnicity,Asian/PI,All ages,0,0,
Ventura,2017,Race/ethnicity,Asian/PI,All ages,11,,Rate not available due to statistical instability
Yolo,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2017,Race/ethnicity,Asian/PI,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2017,Race/ethnicity,AI/AN,All ages,43,2.8,
Alameda,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Alpine,2017,Race/ethnicity,AI/AN,All ages,0,0,
Amador,2017,Race/ethnicity,AI/AN,All ages,0,0,
Butte,2017,Race/ethnicity,AI/AN,All ages,0,0,
Calaveras,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2017,Race/ethnicity,AI/AN,All ages,0,0,
Del Norte,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2017,Race/ethnicity,AI/AN,All ages,0,0,
Fresno,2017,Race/ethnicity,AI/AN,All ages,0,0,
Glenn,2017,Race/ethnicity,AI/AN,All ages,0,0,
Humboldt,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2017,Race/ethnicity,AI/AN,All ages,0,0,
Inyo,2017,Race/ethnicity,AI/AN,All ages,0,0,
Kern,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kings,2017,Race/ethnicity,AI/AN,All ages,0,0,
Lake,2017,Race/ethnicity,AI/AN,All ages,0,0,
Lassen,2017,Race/ethnicity,AI/AN,All ages,0,0,
Los Angeles,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Madera,2017,Race/ethnicity,AI/AN,All ages,0,0,
Marin,2017,Race/ethnicity,AI/AN,All ages,0,0,
Mariposa,2017,Race/ethnicity,AI/AN,All ages,0,0,
Mendocino,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2017,Race/ethnicity,AI/AN,All ages,0,0,
Modoc,2017,Race/ethnicity,AI/AN,All ages,0,0,
Mono,2017,Race/ethnicity,AI/AN,All ages,0,0,
Monterey,2017,Race/ethnicity,AI/AN,All ages,0,0,
Napa,2017,Race/ethnicity,AI/AN,All ages,0,0,
Nevada,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2017,Race/ethnicity,AI/AN,All ages,0,0,
Placer,2017,Race/ethnicity,AI/AN,All ages,0,0,
Plumas,2017,Race/ethnicity,AI/AN,All ages,0,0,
Riverside,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Sacramento,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Benito,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2017,Race/ethnicity,AI/AN,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
